R-PEAK AMPLITUDE PEAK INDEX, TIME, AMPLITUDE, COMPUTED RESPIRATORY RATE (BREATHS PER MINUTE), BENCHMARK RESPIRATORY RATE (BREATHS PER MINUTE)
465,4.65,344, , 
1629,16.29,328, , 
2182,21.82,343, , 
2452,24.52,329, , 
3728,37.28,342, , 
4894,48.94,333, , 
5438,54.38,349, , 
7605,76.05,334, , 
8182,81.82,348, , 
8687,86.87,345, , 
9395,93.95,329, , 
 , , , 6.875, 6.25
10063,100.63,347, , 
11266,112.66,347, , 
12469,124.69,347, , 
13286,132.86,332, , 
13770,137.7,344, , 
14923,149.23,350, , 
16167,161.67,325, , 
18029,180.29,358, , 
 , , , 5.0, 4.375
22195,221.95,339, , 
23168,231.68,311, , 
24019,240.19,327, , 
24419,244.19,327, , 
25253,252.53,294, , 
25799,257.99,316, , 
26822,268.22,320, , 
27754,277.54,338, , 
28330,283.3,340, , 
28735,287.35,329, , 
 , , , 6.25, 7.5
30749,307.49,342, , 
31341,313.41,337, , 
32091,320.91,329, , 
32319,323.19,342, , 
32815,328.15,334, , 
33408,334.08,339, , 
35067,350.67,342, , 
35386,353.86,359, , 
35875,358.75,352, , 
37185,371.85,345, , 
38325,383.25,343, , 
38820,388.2,336, , 
39279,392.79,314, , 
 , , , 8.125, 6.25
39677,396.77,359, , 
40827,408.27,335, , 
41831,418.31,354, , 
44393,443.93,325, , 
45715,457.15,325, , 
46458,464.58,376, , 
46609,466.09,296, , 
 , , , 4.375, 7.5
49382,493.82,299, , 
49752,497.52,326, , 
50113,501.13,314, , 
50597,505.97,357, , 
53107,531.07,328, , 
53859,538.59,325, , 
54572,545.72,318, , 
55439,554.39,345, , 
56916,569.16,322, , 
57789,577.89,334, , 
 , , , 6.25, 7.5
58118,581.18,332, , 
59118,591.18,354, , 
59453,594.53,334, , 
59922,599.22,334, , 
60442,604.42,306, , 
60785,607.85,349, , 
61239,612.39,329, , 
62213,622.13,332, , 
63221,632.21,313, , 
64266,642.66,345, , 
65059,650.59,329, , 
65411,654.11,338, , 
65905,659.05,338, , 
66420,664.2,343, , 
67631,676.31,301, , 
68165,681.65,330, , 
 , , , 10.0, 5.625
68803,688.03,334, , 
70267,702.67,317, , 
71100,711.0,321, , 
71455,714.55,364, , 
71728,717.28,346, , 
71974,719.74,345, , 
72624,726.24,319, , 
74009,740.09,342, , 
75032,750.32,324, , 
75744,757.44,375, , 
76326,763.26,346, , 
 , , , 6.875, 6.875
77290,772.9,310, , 
78453,784.53,351, , 
78828,788.28,366, , 
79295,792.95,358, , 
79756,797.56,337, , 
80993,809.93,323, , 
81520,815.2,375, , 
81888,818.88,367, , 
82137,821.37,349, , 
82517,825.17,348, , 
84125,841.25,380, , 
84484,844.84,385, , 
86016,860.16,309, , 
86298,862.98,345, , 
 , , , 8.75, 6.25
86969,869.69,357, , 
88831,888.31,325, , 
89725,897.25,336, , 
90304,903.04,362, , 
90668,906.68,395, , 
91031,910.31,350, , 
91355,913.55,360, , 
92790,927.9,357, , 
94727,947.27,364, , 
95389,953.89,345, , 
