R-R INTERVAL TROUGHS INDEX, TIME, AMPLITUDE, COMPUTED RESPIRATORY RATE (BREATHS PER MINUTE), BENCHMARK RESPIRATORY RATE (BREATHS PER MINUTE)
1436,14.36,318, , 
2000,20.0,283, , 
2452,24.52,329, , 
3556,35.56,288, , 
4465,44.65,257, , 
6938,69.38,331, , 
8441,84.41,335, , 
9164,91.64,313, , 
 , , , 5.0, 6.25
10481,104.81,298, , 
10912,109.12,295, , 
11440,114.4,255, , 
12206,122.06,270, , 
13616,136.16,335, , 
14123,141.23,328, , 
14850,148.5,310, , 
15681,156.81,279, , 
17427,174.27,308, , 
 , , , 5.625, 4.375
19768,197.68,257, , 
21899,218.99,310, , 
22890,228.9,234, , 
23560,235.6,294, , 
24964,249.64,180, , 
27369,273.69,296, , 
28179,281.79,274, , 
 , , , 4.375, 7.5
29400,294.0,269, , 
30584,305.84,311, , 
31341,313.41,337, , 
31953,319.53,238, , 
32653,326.53,306, , 
33151,331.51,266, , 
33678,336.78,305, , 
34188,341.88,234, , 
35312,353.12,308, , 
35796,357.96,323, , 
37113,371.13,326, , 
37608,376.08,315, , 
 , , , 7.5, 6.25
38895,388.95,306, , 
41350,413.5,284, , 
41669,416.69,308, , 
42243,422.43,346, , 
43432,434.32,284, , 
46478,464.78,135, , 
 , , , 3.75, 7.5
49795,497.95,107, , 
52188,521.88,263, , 
53783,537.83,260, , 
54305,543.05,234, , 
55289,552.89,242, , 
57305,573.05,313, , 
 , , , 3.75, 7.5
58968,589.68,297, , 
59453,594.53,334, , 
61239,612.39,329, , 
63142,631.42,312, , 
64550,645.5,295, , 
65833,658.33,323, , 
 , , , 3.75, 5.625
67459,674.59,250, , 
67813,678.13,269, , 
69070,690.7,314, , 
69984,699.84,231, , 
70563,705.63,278, , 
70928,709.28,243, , 
71284,712.84,236, , 
71811,718.11,220, , 
72541,725.41,283, , 
73366,733.66,288, , 
73834,738.34,252, , 
74293,742.93,280, , 
74577,745.77,261, , 
75581,755.81,251, , 
76172,761.72,247, , 
 , , , 9.375, 6.875
77749,777.49,245, , 
78603,786.03,284, , 
79128,791.28,291, , 
80815,808.15,221, , 
81974,819.74,268, , 
83571,835.71,273, , 
83957,839.57,296, , 
84322,843.22,321, , 
 , , , 5.0, 6.25
86969,869.69,357, , 
87518,875.18,290, , 
88367,883.67,289, , 
90589,905.89,340, , 
91031,910.31,350, , 
91914,919.14,236, , 
92710,927.1,299, , 
93057,930.57,283, , 
94246,942.46,271, , 
94818,948.18,280, , 
95587,955.87,227, , 
95971,959.71,286, , 
 , , , 7.5, 6.25
96316,963.16,279, , 
97460,974.6,256, , 
97831,978.31,213, , 
99156,991.56,285, , 
99791,997.91,306, , 
102143,1021.43,268, , 
102698,1026.98,340, , 
103915,1039.15,274, , 
105688,1056.88,321, , 
 , , , 5.625, 5.0
106046,1060.46,248, , 
107385,1073.85,268, , 
108390,1083.9,292, , 
111348,1113.48,209, , 
112526,1125.26,315, , 
113000,1130.0,315, , 
114212,1142.12,258, , 
114588,1145.88,279, , 
115261,1152.61,244, , 
 , , , 5.625, 5.0
115951,1159.51,228, , 
116415,1164.15,298, , 
117083,1170.83,287, , 
118016,1180.16,270, , 
118489,1184.89,274, , 
119611,1196.11,335, , 
119945,1199.45,346, , 
121710,1217.1,260, , 
122295,1222.95,304, , 
122573,1225.73,249, , 
122946,1229.46,289, , 
124348,1243.48,215, , 
124716,1247.16,316, , 
125992,1259.92,275, , 
 , , , 8.75, 5.0
126773,1267.73,264, , 
127529,1275.29,262, , 
127908,1279.08,224, , 
128291,1282.91,244, , 
128755,1287.55,378, , 
129065,1290.65,306, , 
130530,1305.3,273, , 
132105,1321.05,314, , 
132554,1325.54,292, , 
132944,1329.44,264, , 
