R-PEAK INDEX, TIME, AMPLITUDE
100016,1000.16,127
100096,1000.96,146
100253,1002.53,110
100332,1003.32,146
100408,1004.08,98
100485,1004.85,137
100562,1005.62,123
100639,1006.39,104
100715,1007.15,129
100793,1007.93,142
100822,1008.22,54
100872,1008.72,115
100950,1009.5,110
101029,1010.29,137
101108,1011.08,141
101186,1011.86,152
101264,1012.64,85
101343,1013.43,127
101421,1014.21,134
101499,1014.99,118
101577,1015.77,137
101606,1016.06,55
101656,1016.56,105
101734,1017.34,116
101813,1018.13,144
101892,1018.92,130
101921,1019.21,52
101972,1019.72,75
102050,1020.5,151
102128,1021.28,102
102208,1022.08,105
102238,1022.38,52
102288,1022.88,116
102317,1023.17,54
102366,1023.66,154
102444,1024.44,136
102473,1024.73,53
102523,1025.23,138
102552,1025.52,54
102601,1026.01,96
102679,1026.79,113
102758,1027.58,148
102837,1028.37,111
102916,1029.16,141
102995,1029.95,127
103074,1030.74,145
103154,1031.54,128
103183,1031.83,52
103233,1032.33,132
103312,1033.12,150
103392,1033.92,121
103421,1034.21,53
103473,1034.73,137
103553,1035.53,144
103582,1035.82,52
103633,1036.33,143
103662,1036.62,53
103713,1037.13,130
103791,1037.91,111
103869,1038.69,80
103948,1039.48,130
104025,1040.25,139
104102,1041.02,94
104178,1041.78,96
104254,1042.54,101
104330,1043.3,126
104406,1044.06,93
104483,1044.83,125
104512,1045.12,55
104563,1045.63,83
104641,1046.41,151
104718,1047.18,92
104797,1047.97,127
104826,1048.26,56
104874,1048.74,86
104902,1049.02,55
104951,1049.51,109
105029,1050.29,135
105107,1051.07,133
105136,1051.36,55
105184,1051.84,133
105261,1052.61,138
105338,1053.38,144
105367,1053.67,55
105416,1054.16,103
105445,1054.45,56
105493,1054.93,132
105521,1055.21,54
105570,1055.7,100
105647,1056.47,100
105723,1057.23,75
105801,1058.01,83
105877,1058.77,134
105954,1059.54,82
106030,1060.3,131
106106,1061.06,104
106182,1061.82,141
106258,1062.58,115
106334,1063.34,111
106410,1064.1,114
106487,1064.87,129
106563,1065.63,92
106639,1066.39,136
106716,1067.16,117
106792,1067.92,77
106868,1068.68,130
106944,1069.44,126
107019,1070.19,89
107094,1070.94,116
107169,1071.69,97
107244,1072.44,131
107319,1073.19,85
107349,1073.49,53
107395,1073.95,120
107470,1074.7,115
107545,1075.45,94
107622,1076.22,120
107651,1076.51,57
107697,1076.97,137
107772,1077.72,151
107848,1078.48,96
107924,1079.24,132
107953,1079.53,58
108000,1080.0,120
108076,1080.76,103
108106,1081.06,55
108154,1081.54,134
108233,1082.33,135
108262,1082.62,57
108311,1083.11,144
108389,1083.89,133
108468,1084.68,87
108546,1085.46,108
108624,1086.24,142
108701,1087.01,105
108779,1087.79,116
108807,1088.07,58
108856,1088.56,129
108933,1089.33,126
108962,1089.62,53
109010,1090.1,140
109039,1090.39,55
109088,1090.88,129
109117,1091.17,55
109165,1091.65,138
109242,1092.42,85
109320,1093.2,79
109349,1093.49,52
109397,1093.97,137
109473,1094.73,95
109551,1095.51,73
109578,1095.78,52
109628,1096.28,128
109706,1097.06,108
109784,1097.84,110
109862,1098.62,107
109940,1099.4,131
110017,1100.17,147
110094,1100.94,93
110171,1101.71,123
110247,1102.47,118
110323,1103.23,111
110352,1103.52,55
110399,1103.99,135
110428,1104.28,55
110476,1104.76,135
110506,1105.06,55
110552,1105.52,100
110627,1106.27,132
110705,1107.05,70
110732,1107.32,52
110781,1107.81,130
110810,1108.1,54
110857,1108.57,104
110934,1109.34,128
111011,1110.11,76
111041,1110.41,57
111091,1110.91,90
111119,1111.19,55
111169,1111.69,118
111198,1111.98,59
111247,1112.47,127
111326,1113.26,82
111355,1113.55,59
111405,1114.05,140
111434,1114.34,58
111484,1114.84,94
111563,1115.63,158
111592,1115.92,58
111643,1116.43,130
111672,1116.72,58
111722,1117.22,128
111751,1117.51,57
111801,1118.01,147
111830,1118.3,53
111881,1118.81,130
111910,1119.1,53
111962,1119.62,97
112040,1120.4,111
112119,1121.19,141
112198,1121.98,129
112276,1122.76,125
112354,1123.54,104
112383,1123.83,52
112432,1124.32,132
112461,1124.61,52
112511,1125.11,118
112539,1125.39,52
112588,1125.88,129
112665,1126.65,125
112743,1127.43,118
112824,1128.24,102
112907,1129.07,130
112988,1129.88,134
113017,1130.17,54
113069,1130.69,144
113098,1130.98,54
113152,1131.52,132
113234,1132.34,94
113314,1133.14,74
113344,1133.44,56
113396,1133.96,142
113478,1134.78,115
113507,1135.07,57
113556,1135.56,81
113635,1136.35,126
113714,1137.14,122
113794,1137.94,137
113823,1138.23,54
113873,1138.73,103
113951,1139.51,111
114031,1140.31,135
114060,1140.6,53
114112,1141.12,124
114141,1141.41,55
114191,1141.91,148
114271,1142.71,146
114352,1143.52,80
114382,1143.82,55
114432,1144.32,129
114512,1145.12,95
114591,1145.91,103
114621,1146.21,55
114671,1146.71,78
114701,1147.01,57
114749,1147.49,93
114828,1148.28,135
114857,1148.57,52
114907,1149.07,107
114986,1149.86,97
115065,1150.65,127
115145,1151.45,85
115225,1152.25,91
115304,1153.04,118
115333,1153.33,53
115382,1153.82,149
115461,1154.61,136
115490,1154.9,52
115541,1155.41,74
115619,1156.19,114
115699,1156.99,135
115778,1157.78,105
115857,1158.57,79
115936,1159.36,112
116015,1160.15,76
116092,1160.92,139
116170,1161.7,112
116248,1162.48,106
116325,1163.25,79
116355,1163.55,52
116401,1164.01,77
116479,1164.79,108
116556,1165.56,100
116585,1165.85,56
116633,1166.33,124
116661,1166.61,57
116709,1167.09,121
116785,1167.85,150
116863,1168.63,132
116892,1168.92,58
116941,1169.41,126
116970,1169.7,58
117017,1170.17,97
117094,1170.94,133
117172,1171.72,88
117202,1172.02,61
117252,1172.52,140
117281,1172.81,58
117330,1173.3,89
117409,1174.09,114
117490,1174.9,127
117519,1175.19,56
117570,1175.7,108
117650,1176.5,141
117731,1177.31,121
117812,1178.12,113
117890,1178.9,121
117967,1179.67,101
118045,1180.45,121
118121,1181.21,84
118197,1181.97,141
118273,1182.73,140
118348,1183.48,78
118423,1184.23,131
118498,1184.98,133
118574,1185.74,104
118652,1186.52,130
118729,1187.29,127
118807,1188.07,114
118886,1188.86,91
118965,1189.65,110
119043,1190.43,137
119122,1191.22,100
119198,1191.98,123
119275,1192.75,123
119351,1193.51,119
119426,1194.26,105
119501,1195.01,137
119578,1195.78,98
119655,1196.55,119
119684,1196.84,52
119733,1197.33,71
119811,1198.11,124
119889,1198.89,84
119970,1199.7,83
119999,1199.99,51
120051,1200.51,107
120080,1200.8,51
120130,1201.3,127
120159,1201.59,54
120209,1202.09,141
120289,1202.89,138
120318,1203.18,51
120367,1203.67,116
120396,1203.96,52
120443,1204.43,74
120520,1205.2,131
120549,1205.49,55
120597,1205.97,139
120625,1206.25,52
120672,1206.72,77
120750,1207.5,121
120780,1207.8,60
120826,1208.26,180
120905,1209.05,162
120934,1209.34,62
120986,1209.86,134
121015,1210.15,60
121064,1210.64,148
121143,1211.43,169
121223,1212.23,138
121252,1212.52,54
121303,1213.03,134
121332,1213.32,52
121382,1213.82,150
121462,1214.62,177
121545,1215.45,91
121627,1216.27,138
121708,1217.08,163
121790,1217.9,135
121874,1218.74,118
121955,1219.55,104
122039,1220.39,145
122121,1221.21,82
122202,1222.02,111
122285,1222.85,132
122367,1223.67,136
122448,1224.48,138
122529,1225.29,126
122611,1226.11,105
122694,1226.94,116
122774,1227.74,119
122857,1228.57,131
122941,1229.41,131
123024,1230.24,94
123107,1231.07,91
123192,1231.92,130
123275,1232.75,77
123358,1233.58,136
123441,1234.41,102
123526,1235.26,91
123610,1236.1,115
123697,1236.97,76
123785,1237.85,119
123873,1238.73,87
123964,1239.64,81
124056,1240.56,123
124149,1241.49,126
124242,1242.42,115
124271,1242.71,54
124337,1243.37,146
124430,1244.3,108
124460,1244.6,57
124518,1245.18,140
124547,1245.47,55
124607,1246.07,116
124690,1246.9,131
124720,1247.2,72
124772,1247.72,139
124802,1248.02,79
124852,1248.52,122
124881,1248.81,66
124930,1249.3,134
124959,1249.59,76
125008,1250.08,125
125038,1250.38,67
125088,1250.88,138
125116,1251.16,54
125167,1251.67,101
125249,1252.49,168
125333,1253.33,120
125363,1253.63,54
125417,1254.17,139
125502,1255.02,134
125588,1255.88,100
125677,1256.77,152
125763,1257.63,155
125852,1258.52,105
125943,1259.43,148
126034,1260.34,122
126063,1260.63,52
126122,1261.22,155
126213,1262.13,146
126304,1263.04,130
126393,1263.93,157
126483,1264.83,149
126571,1265.71,152
126657,1266.57,148
126744,1267.44,135
126830,1268.3,148
126914,1269.14,144
126998,1269.98,86
127082,1270.82,149
127164,1271.64,120
127245,1272.45,92
127327,1273.27,138
127408,1274.08,126
127487,1274.87,121
127565,1275.65,107
127642,1276.42,134
127719,1277.19,124
127796,1277.96,112
127874,1278.74,78
127952,1279.52,70
128032,1280.32,84
128061,1280.61,51
128112,1281.12,140
128141,1281.41,52
128190,1281.9,121
128269,1282.69,136
128350,1283.5,155
128379,1283.79,53
128433,1284.33,132
128463,1284.63,54
128515,1285.15,116
128598,1285.98,156
128682,1286.82,142
128712,1287.12,55
128764,1287.64,132
128848,1288.48,112
128877,1288.77,53
128931,1289.31,142
128960,1289.6,55
129012,1290.12,109
129093,1290.93,162
129175,1291.75,93
129204,1292.04,55
129257,1292.57,106
129287,1292.87,54
129337,1293.37,138
129417,1294.17,97
129499,1294.99,115
129528,1295.28,53
129580,1295.8,123
129610,1296.1,58
129663,1296.63,136
129746,1297.46,124
129830,1298.3,138
129916,1299.16,132
130003,1300.03,135
130091,1300.91,130
130121,1301.21,49
130177,1301.77,143
